㣰 XIE
㣱 ZE
㣲 WEI
㣵 TA
㣶 ZHAN
㣷 NING
㣻 YI
㣼 REN
㣽 SHU
㣾 CHA
㣿 ZHUO
㤁 MIAN
㤂 JI
㤃 FANG
㤄 PEI
㤅 AI
㤆 FAN
㤇 AO
㤈 QIN
㤉 QIA
㤊 XIAO
㤍 QIAO
㤏 TONG
㤑 YOU
㤓 BEN
㤔 FU
㤕 CHU
㤖 ZHU
㤘 CHU
㤚 HANG
㤛 NIN
㤜 JUE
㤞 CHA
㤟 KONG
㤠 LIE
㤡 LI
㤢 XU
㤤 YU
㤥 HAI
㤦 LI
㤧 HOU
㤨 GONG
㤩 KE
㤪 YUAN
㤫 DE
㤬 HUI
㤮 KUANG
㤯 JIONG
㤰 ZAN
㤱 FU
㤲 QIE
㤳 BEI
㤴 XI
㤵 CI
㤶 PANG
㤸 XI
㤹 QIU
㤺 HUANG
㤽 CHOU
㤾 SAN
㥀 DE
㥁 DE
㥂 TE
㥃 MEN
㥄 LING
㥅 SHOU
㥆 DIAN
㥇 CAN
㥈 DIE
㥉 CHE
㥊 PENG
㥌 JU
㥍 JI
㥎 LAI
㥏 TIAN
㥐 YUAN
㥒 CAI
㥓 QI
㥔 YU
㥕 LIAN
㥚 YU
㥛 JI
㥜 WEI
㥝 MI
㥞 CUI
㥟 XIE
㥠 XU
㥡 XI
㥢 QIU
㥣 HUI
㥥 YU
㥦 QIE
㥧 SHUN
㥨 CHUI
㥩 DUO
㥪 LOU
㥬 PANG
㥭 TAI
㥮 ZHOU
㥯 YIN
㥱 FEI
㥲 SHEN
㥳 YUAN
㥴 YI
㥵 HUN
㥶 SE
㥷 YE
㥸 MIN
㥹 FEN
㥺 HE
㥼 YIN
㥽 CE
㥾 NI
㥿 AO
㦀 FENG
㦁 LIAN
㦂 CHANG
㦃 CHAN
㦄 MA
㦅 DI
㦇 LU
㦉 YI
㦊 HUA
㦌 TUI
㦍 E
㦎 HUA
㦏 SUN
㦐 NI
㦑 LIAN
㦒 LI
㦓 XIAN
㦔 YAN
㦕 LONG
㦖 MEN
㦗 JIAN
㦚 BIAN
㦛 YU
㦜 HUO
㦝 MIAO
㦞 CHOU
㦟 HAI
㦡 LE
㦢 JIE
㦣 WEI
㦤 YI
㦥 HUAN
㦦 HE
㦧 CAN
㦨 LAN
㦩 YIN
㦪 XIE
㦬 LUO
㦭 LING
㦮 QIAN
㦯 HUO
㦱 WO
㦴 GE
㦶 DIE
㦷 YONG
㦸 JI
㦹 ANG
㦺 RU
㦻 XI
㦼 SHUANG
㦽 XU
㦾 YI
㦿 HU
㧀 JI
㧁 QU
㧂 TIAN
㧄 QIAN
㧅 MU
㧇 MAO
㧈 YIN
㧉 GAI
㧊 BA
㧋 XIAN
㧌 MAO
㧍 FANG
㧎 YA
㧐 SONG
㧑 WEI
㧒 XUE
㧔 GUAI
㧕 JIU
㧖 E
㧗 ZI
㧘 CUI
㧙 BI
㧚 WA
㧜 LIE
㧟 KUAI
㧡 HAI
㧣 ZHU
㧤 CHONG
㧥 XIAN
㧦 XUAN
㧨 QIU
㧩 PEI
㧪 GUI
㧫 ER
㧬 GONG
㧭 QIONG
㧯 LAO
㧰 LI
㧱 CHEN
㧲 SAN
㧳 BO
㧴 WO
㧵 POU
㧷 DUO
㧹 TE
㧺 TA
㧻 ZHI
㧼 BIAO
㧽 GU
㨀 BING
㨁 ZHI
㨂 DONG
㨃 CHENG
㨄 ZHAO
㨅 NEI
㨆 LIN
㨇 PO
㨈 JI
㨉 MIN
㨊 WEI
㨋 CHE
㨌 GOU
㨎 RU
㨐 BU
㨒 KUI
㨓 LAO
㨔 HAN
㨕 YING
㨖 ZHI
㨗 JIE
㨘 XING
㨙 XIE
㨚 XUN
㨛 SHAN
㨜 QIAN
㨝 XIE
㨞 SU
㨟 HAI
㨠 MI
㨡 HUN
㨤 HUI
㨥 NA
㨦 SONG
㨧 BEN
㨨 LIU
㨩 JIE
㨪 HUANG
㨫 LAN
㨭 HU
㨮 DOU
㨯 HUO
㨰 GE
㨱 YAO
㨲 CE
㨳 GUI
㨴 JIAN
㨵 JIAN
㨶 CHOU
㨷 JIN
㨸 MA
㨹 HUI
㨺 MEN
㨻 CAN
㨼 LÜE
㨽 PI
㨾 YANG
㨿 JU
㩀 JU
㩁 QUE
㩄 SHAI
㩆 JIU
㩇 HUA
㩈 XIAN
㩉 XIE
㩋 SU
㩌 FEI
㩍 CE
㩎 YE
㩒 QIN
㩓 HUI
㩔 TUN
㩖 QIANG
㩗 XI
㩘 YI
㩚 MENG
㩛 TUAN
㩜 LAN
㩝 HAO
㩞 CI
㩟 ZHAI
㩠 PIAO
㩡 LUO
㩢 MI
㩦 XIE
㩧 BO
㩨 HUI
㩩 QI
㩪 XIE
㩭 BO
㩮 QIAN
㩯 BAN
㩰 JIAO
㩱 JUE
㩲 KUN
㩳 SONG
㩴 JU
㩵 E
㩶 NIE
㩸 DIE
㩹 DIE
㩻 GUI
㩽 QI
㩾 CHUI
㪀 YU
㪁 QIN
㪃 KE
㪄 FU
㪆 DI
㪇 XIAN
㪈 GUI
㪉 HE
㪊 QUN
㪋 HAN
㪌 TONG
㪍 BO
㪎 SHAN
㪏 BI
㪐 LU
㪑 YE
㪒 NI
㪓 CHUAI
㪔 SAN
㪕 DIAO
㪖 LU
㪗 TOU
㪘 LIAN
㪙 KE
㪚 SAN
㪛 ZHEN
㪜 CHUAI
㪝 LIAN
㪞 MAO
㪠 QIAN
㪡 KE
㪢 SHAO
㪣 QIAO
㪤 BI
㪦 YIN
㪨 SHAN
㪩 SU
㪪 SA
㪫 RUI
㪬 ZHUO
㪭 LU
㪮 LING
㪯 CHA
㪱 HUAN
㪴 JIA
㪵 BAN
㪶 HU
㪷 DOU
㪹 LOU
㪻 JUAN
㪼 KE
㪽 SUO
㪾 GE
㪿 ZHE
㫀 DING
㫁 DUAN
㫂 ZHU
㫃 YAN
㫄 PANG
㫅 CHA
㫊 YI
㫍 YOU
㫎 GUN
㫏 YAO
㫐 YAO
㫑 SHI
㫒 GONG
㫓 QI
㫔 GEN
㫗 HOU
㫘 MI
㫙 FU
㫚 HU
㫛 GUANG
㫜 DAN
㫟 YAN
㫢 QU
㫤 CHANG
㫥 MING
㫧 BAO
㫫 XIAN
㫯 MAO
㫰 LANG
㫱 NAN
㫲 PEI
㫳 CHEN
㫶 COU
㫸 QIE
㫹 DAI
㫻 KUN
㫼 DIE
㫽 LU
㬂 YU
㬃 TAI
㬄 CHAN
㬅 MAN
㬆 MIAN
㬇 HUAN
㬉 NUAN
㬊 HUAN
㬋 HOU
㬌 JING
㬍 BO
㬎 XIAN
㬏 LI
㬐 JIN
㬒 MANG
㬓 PIAO
㬔 HAO
㬕 YANG
㬗 XIAN
㬘 SU
㬙 WEI
㬚 CHE
㬜 JIN
㬝 CENG
㬞 HE
㬠 SHAI
㬡 LING
㬣 DUI
㬥 PU
㬦 YUE
㬧 BO
㬩 HUI
㬪 DIE
㬫 YAN
㬬 JU
㬭 JIAO
㬮 KUAI
㬯 LIE
㬰 YU
㬱 TI
㬳 WU
㬴 HONG
㬵 XIAO
㬶 HAO
㬻 HUANG
㬼 FU
㬿 DUN
㭁 RENG
㭂 JIAO
㭄 XIN
㭇 YUAN
㭈 JUE
㭉 HUA
㭋 BANG
㭌 MOU
㭏 WEI
㭑 MEI
㭒 SI
㭓 BIAN
㭔 LU
㭘 HE
㭙 SHE
㭚 LÜ
㭛 PAI
㭜 RONG
㭝 QIU
㭞 LIE
㭟 GONG
㭠 XIAN
㭡 XI
㭤 NIAO
㭨 XIE
㭩 LEI
㭫 CUAN
㭬 ZHUO
㭭 FEI
㭮 ZUO
㭯 DIE
㭰 JI
㭱 HE
㭲 JI
㭸 TU
㭹 XIAN
㭺 YAN
㭻 TANG
㭼 TA
㭽 DI
㭾 JUE
㭿 ANG
㮀 HAN
㮁 YAO
㮂 JU
㮃 RUI
㮄 BANG
㮆 NIE
㮇 TIAN
㮈 NAI
㮋 YOU
㮌 MIAN
㮏 NAI
㮐 XING
㮑 QI
㮓 GEN
㮔 TONG
㮕 ER
㮖 JIA
㮗 QIN
